image_path,label
train/Apple___Apple_scab/6643566f-d980-4bdb-88d7-4d3ab3c771fa___FREC_Scab 3038.JPG,Apple___Apple_scab
train/Apple___Apple_scab/8455ff58-ba10-44ee-abfc-0055cf6f0449___FREC_Scab 3135.JPG,Apple___Apple_scab
train/Apple___Apple_scab/aba69098-9c79-46cc-ba1f-6f88a456b56f___FREC_Scab 3039.JPG,Apple___Apple_scab
train/Apple___Apple_scab/34c2823b-d1c5-4bd8-a5a7-74bdef959e10___FREC_Scab 3484.JPG,Apple___Apple_scab
train/Apple___Apple_scab/321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958.JPG,Apple___Apple_scab
train/Apple___Apple_scab/5345e6fb-1829-457f-ac86-6683d762c9ea___FREC_Scab 3482.JPG,Apple___Apple_scab
train/Apple___Apple_scab/b56bccc2-4489-412c-83ac-ef0c7672ee70___FREC_Scab 3479.JPG,Apple___Apple_scab
train/Apple___Apple_scab/48dcb319-8b65-4bac-bba4-aa8ffa8abdd0___FREC_Scab 3519.JPG,Apple___Apple_scab
train/Apple___Apple_scab/dd46079c-b12c-4687-9db9-5d45b7f0e510___FREC_Scab 3327.JPG,Apple___Apple_scab
train/Apple___Apple_scab/808207df-2000-4050-a720-bd23997710b8___FREC_Scab 3270.JPG,Apple___Apple_scab
train/Apple___Apple_scab/32550bbb-cdf1-4805-8167-27dc5a8e87d2___FREC_Scab 3195.JPG,Apple___Apple_scab
train/Apple___Apple_scab/f887b059-f797-442d-b2b6-a9cab0f76f43___FREC_Scab 3169.JPG,Apple___Apple_scab
train/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab
train/Apple___Apple_scab/9efcd800-e927-4595-8eb8-26d36524242a___FREC_Scab 3026.JPG,Apple___Apple_scab
train/Apple___Apple_scab/d1938082-a2de-49ad-8ca2-4b1947a7e107___FREC_Scab 3212.JPG,Apple___Apple_scab
train/Apple___Apple_scab/8c916434-af92-4360-9833-0422aa510f7e___FREC_Scab 3245.JPG,Apple___Apple_scab
train/Apple___Apple_scab/ecbac6b5-e07f-4a0d-a670-1d3b97f01104___FREC_Scab 3168.JPG,Apple___Apple_scab
train/Apple___Apple_scab/474cf33e-0289-4014-bb8a-8004b87b471b___FREC_Scab 3425.JPG,Apple___Apple_scab
train/Apple___Apple_scab/fb942296-ba33-40e5-ada0-6700365cf71d___FREC_Scab 2919.JPG,Apple___Apple_scab
train/Apple___Apple_scab/30111fee-0c22-4ca4-aeb4-ac14a9a5d651___FREC_Scab 3097.JPG,Apple___Apple_scab
train/Apple___Apple_scab/a0fd13e3-e36c-4386-beb2-ec6a587bfd70___FREC_Scab 3053.JPG,Apple___Apple_scab
train/Apple___Apple_scab/e2746374-a734-4d96-9dc8-503fbd35effa___FREC_Scab 2979.JPG,Apple___Apple_scab
train/Apple___Apple_scab/4bb38e05-1d5a-40c6-8638-10db134db682___FREC_Scab 3390.JPG,Apple___Apple_scab
train/Apple___Apple_scab/32454154-edbf-464f-8097-e99a3d9a15af___FREC_Scab 2936.JPG,Apple___Apple_scab
train/Apple___Apple_scab/a8037811-6ce4-4611-ace1-1b6492374135___FREC_Scab 3126.JPG,Apple___Apple_scab
train/Apple___Apple_scab/376aaef3-8649-43aa-89f8-166bd349a3d3___FREC_Scab 3064.JPG,Apple___Apple_scab
train/Apple___Apple_scab/eda0a3b5-fe6e-4646-acc6-7db5179e3e96___FREC_Scab 3380.JPG,Apple___Apple_scab
train/Apple___Apple_scab/2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG,Apple___Apple_scab
train/Apple___Apple_scab/6171eecd-e385-4010-b9cd-5982f4674fee___FREC_Scab 2911.JPG,Apple___Apple_scab
train/Apple___Apple_scab/2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG,Apple___Apple_scab
train/Apple___Apple_scab/2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG,Apple___Apple_scab
train/Apple___Apple_scab/892da302-54b8-43a1-960d-055f5eb3f0a1___FREC_Scab 3019.JPG,Apple___Apple_scab
train/Apple___Apple_scab/e3891103-ded4-418f-bae1-91c282a30dcb___FREC_Scab 3159.JPG,Apple___Apple_scab
train/Apple___Apple_scab/d7ac8a6f-7c88-47ac-9387-eefb672e9776___FREC_Scab 3392.JPG,Apple___Apple_scab
train/Apple___Apple_scab/bceb695a-e877-4b2b-bf05-241661d511d4___FREC_Scab 3240.JPG,Apple___Apple_scab
train/Apple___Apple_scab/14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,Apple___Apple_scab
train/Apple___Apple_scab/8c72c236-8f13-4087-8d1d-f365211563f0___FREC_Scab 3196.JPG,Apple___Apple_scab
train/Apple___Apple_scab/b1efda88-84a3-4d96-b3bf-48d7e12155e9___FREC_Scab 3009.JPG,Apple___Apple_scab
train/Apple___Apple_scab/659a6491-b20d-4ff6-a3be-243266b4df0c___FREC_Scab 3155.JPG,Apple___Apple_scab
train/Apple___Apple_scab/9f76829c-655e-4f75-b5fd-2ddfd01f963a___FREC_Scab 3337.JPG,Apple___Apple_scab
train/Apple___Apple_scab/075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,Apple___Apple_scab
train/Apple___Apple_scab/dce5b716-54ad-420c-911c-476b838c4be9___FREC_Scab 3045.JPG,Apple___Apple_scab
train/Apple___Apple_scab/095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,Apple___Apple_scab
train/Apple___Apple_scab/f6946261-1a18-4306-ba87-ca25344d9bd2___FREC_Scab 3525.JPG,Apple___Apple_scab
train/Apple___Apple_scab/748e82aa-02b1-4ca7-9fd3-e0184f20644f___FREC_Scab 3354.JPG,Apple___Apple_scab
train/Apple___Apple_scab/01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,Apple___Apple_scab
train/Apple___Apple_scab/0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,Apple___Apple_scab
train/Apple___Apple_scab/abfd8972-51b1-4715-a358-54e8e2afa071___FREC_Scab 3267.JPG,Apple___Apple_scab
train/Apple___Apple_scab/c2997bb6-d9ae-4ffc-bc3f-c85510480e13___FREC_Scab 3428.JPG,Apple___Apple_scab
train/Apple___Apple_scab/246c33b0-fac8-4cca-ae8b-17947338b8b2___FREC_Scab 3091.JPG,Apple___Apple_scab
train/Apple___Apple_scab/ef91867f-33c5-4063-9783-44fd47238fe0___FREC_Scab 2935.JPG,Apple___Apple_scab
train/Apple___Apple_scab/98e6e72f-092d-41dc-93e1-22bfc1ea2abd___FREC_Scab 2953.JPG,Apple___Apple_scab
train/Apple___Apple_scab/af598e54-dae1-47e5-aefc-0b0a419dfa07___FREC_Scab 3211.JPG,Apple___Apple_scab
train/Apple___Apple_scab/7bf25c0a-6594-4777-9a67-49a6487bb203___FREC_Scab 2993.JPG,Apple___Apple_scab
train/Apple___Apple_scab/e0291fa3-bb60-4c05-85da-28a10a1562e9___FREC_Scab 3214.JPG,Apple___Apple_scab
train/Apple___Apple_scab/d9a98a38-faa1-47dc-9710-28a86f024a29___FREC_Scab 3490.JPG,Apple___Apple_scab
train/Apple___Apple_scab/0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG,Apple___Apple_scab
train/Apple___Apple_scab/7308b9c4-3408-48ff-bd4a-b07350421e60___FREC_Scab 3508.JPG,Apple___Apple_scab
train/Apple___Apple_scab/88b51f59-08ed-41fe-8402-69f0964f87fe___FREC_Scab 3299.JPG,Apple___Apple_scab
train/Apple___Apple_scab/ed3fa713-5de5-4298-96c1-9cf5bb830078___FREC_Scab 3105.JPG,Apple___Apple_scab
train/Apple___Apple_scab/1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG,Apple___Apple_scab
train/Apple___Apple_scab/9a544639-1fc6-4c45-88e4-3049c2bc0814___FREC_Scab 3439.JPG,Apple___Apple_scab
train/Apple___Apple_scab/f8e48799-c566-4b86-b7c8-a0e290fb7f25___FREC_Scab 3167.JPG,Apple___Apple_scab
train/Apple___Apple_scab/48420763-bd18-49b4-9ab4-69319b5733f2___FREC_Scab 3201.JPG,Apple___Apple_scab
train/Apple___Apple_scab/6cee3edf-8909-418f-a27f-5e175e7ccd77___FREC_Scab 2951.JPG,Apple___Apple_scab
train/Apple___Apple_scab/ab7d0d06-b45c-4472-a708-c2a1d65ee748___FREC_Scab 3152.JPG,Apple___Apple_scab
train/Apple___Apple_scab/f0bbc28f-b6d6-4db3-b924-984a1e988510___FREC_Scab 3204.JPG,Apple___Apple_scab
train/Apple___Apple_scab/0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,Apple___Apple_scab
train/Apple___Apple_scab/1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG,Apple___Apple_scab
train/Apple___Apple_scab/f34d9619-f182-4b2f-b1a3-1658cc298f9b___FREC_Scab 3440.JPG,Apple___Apple_scab
train/Apple___Apple_scab/fbd09d7f-e816-408a-946e-e4009ec8cae1___FREC_Scab 3289.JPG,Apple___Apple_scab
train/Apple___Apple_scab/53fe6519-da0a-4183-80d6-a18828a33223___FREC_Scab 3283.JPG,Apple___Apple_scab
train/Apple___Apple_scab/3dd3d59c-be2a-4f29-8fa1-d4f37d7fb894___FREC_Scab 3412.JPG,Apple___Apple_scab
train/Apple___Apple_scab/252087d7-57c9-4ebe-b6c4-840d6c5dfcb1___FREC_Scab 3329.JPG,Apple___Apple_scab
train/Apple___Apple_scab/623fb084-dbac-42fb-b636-7cfcb89ba9f6___FREC_Scab 3437.JPG,Apple___Apple_scab
train/Apple___Apple_scab/0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,Apple___Apple_scab
train/Apple___Apple_scab/09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab
train/Apple___Apple_scab/2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG,Apple___Apple_scab
train/Apple___Apple_scab/cd5654a1-a27a-49f1-8d97-22101a905278___FREC_Scab 3179.JPG,Apple___Apple_scab
train/Apple___Apple_scab/9100bed7-65dd-4425-840b-503f9db78ef8___FREC_Scab 3076.JPG,Apple___Apple_scab
train/Apple___Apple_scab/13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,Apple___Apple_scab
train/Apple___Apple_scab/3523d2d8-0da9-4b83-b09d-21bd96860a3d___FREC_Scab 3499.JPG,Apple___Apple_scab
train/Apple___Apple_scab/b18d07ee-d2e2-4cc2-876c-e03e3839f3b6___FREC_Scab 3427.JPG,Apple___Apple_scab
train/Apple___Apple_scab/4d3bcf15-cc49-4189-82e1-780efdf625a8___FREC_Scab 3254.JPG,Apple___Apple_scab
train/Apple___Black_rot/a0d95497-da4c-40dd-bc2a-d29d1629bd4f___JR_FrgE.S 8759.JPG,Apple___Black_rot
train/Apple___Black_rot/d892ca1b-8b68-4087-9bb1-3ac7b861c283___JR_FrgE.S 8606.JPG,Apple___Black_rot
train/Apple___Black_rot/4cdea367-e77f-4d29-a99c-23ec18260ee9___JR_FrgE.S 3066.JPG,Apple___Black_rot
train/Apple___Black_rot/e2af1632-e9bb-4a05-8ead-faba02eac1e2___JR_FrgE.S 3070.JPG,Apple___Black_rot
train/Apple___Black_rot/3235339f-7b7b-423a-850a-0fd58ded4725___JR_FrgE.S 2791.JPG,Apple___Black_rot
train/Apple___Black_rot/0d17b92b-8ec2-4a00-a8ff-9daea3fed2e8___JR_FrgE.S 2915.JPG,Apple___Black_rot
train/Apple___Black_rot/6e6ba2b7-f2dd-4e99-816a-0e0b8dd6d6bf___JR_FrgE.S 2762.JPG,Apple___Black_rot
train/Apple___Black_rot/36e0efb7-95ff-4707-9d35-c213159af55c___JR_FrgE.S 8673.JPG,Apple___Black_rot
train/Apple___Black_rot/d2313a95-61dd-45de-a8b8-3c2992e2b97f___JR_FrgE.S 8652.JPG,Apple___Black_rot
train/Apple___Black_rot/be00705f-de03-4448-b186-fc47e39859a2___JR_FrgE.S 8811.JPG,Apple___Black_rot
train/Apple___Black_rot/24ff782d-8641-4508-969a-0f1a2f4a3f48___JR_FrgE.S 8700.JPG,Apple___Black_rot
train/Apple___Black_rot/56aa2b6a-6a51-4755-b314-0e9486c53075___JR_FrgE.S 8736.JPG,Apple___Black_rot
train/Apple___Black_rot/d34cb771-c15b-41c4-aa43-ecae33df010b___JR_FrgE.S 8631.JPG,Apple___Black_rot
train/Apple___Black_rot/af71d90f-c209-4d1d-8c80-0d7cab342106___JR_FrgE.S 8696.JPG,Apple___Black_rot
train/Apple___Black_rot/e54ced2f-6766-41f4-99d5-87ffc2a81cbc___JR_FrgE.S 8694.JPG,Apple___Black_rot
train/Apple___Black_rot/ebe0af1e-91e2-4f41-bea2-179e720da94b___JR_FrgE.S 8750.JPG,Apple___Black_rot
train/Apple___Black_rot/35b68c2b-4d91-484c-ab0c-6347ba6ce974___JR_FrgE.S 8615.JPG,Apple___Black_rot
train/Apple___Black_rot/899768af-a460-4c1d-9889-afd2536e7238___JR_FrgE.S 2957.JPG,Apple___Black_rot
train/Apple___Black_rot/d270d610-6fb5-4ae1-9a00-ad72b3e98526___JR_FrgE.S 8635.JPG,Apple___Black_rot
train/Apple___Black_rot/35f56736-d311-4e80-88a4-7ba12fd71985___JR_FrgE.S 2787.JPG,Apple___Black_rot
train/Apple___Black_rot/5f569320-f84c-4a08-b414-1fd93f7e382b___JR_FrgE.S 8661.JPG,Apple___Black_rot
train/Apple___Black_rot/03fd7154-2e33-4fb6-999d-bfc3a3f467fe___JR_FrgE.S 8681.JPG,Apple___Black_rot
train/Apple___Black_rot/3f7dbd31-47f7-45e4-aa23-42e23362a15d___JR_FrgE.S 2818.JPG,Apple___Black_rot
train/Apple___Black_rot/42277cf4-c76e-4c00-b42f-6254f2cb8496___JR_FrgE.S 2771.JPG,Apple___Black_rot
train/Apple___Black_rot/4ca16e52-bdfb-40c3-8407-77087fdfc786___JR_FrgE.S 2852.JPG,Apple___Black_rot
train/Apple___Black_rot/a79f3789-8c2c-4a04-acb4-f96544b93082___JR_FrgE.S 2880.JPG,Apple___Black_rot
train/Apple___Black_rot/32ef0219-fbb0-417c-abad-56021a2c1619___JR_FrgE.S 2893.JPG,Apple___Black_rot
train/Apple___Black_rot/39c257ad-8334-45e7-a4e1-f131bb4a7eee___JR_FrgE.S 3023.JPG,Apple___Black_rot
train/Apple___Black_rot/788885e1-18b4-44a0-af85-226e66265220___JR_FrgE.S 8574.JPG,Apple___Black_rot
train/Apple___Black_rot/14896f6f-ae86-4879-958b-7422b957e104___JR_FrgE.S 8768.JPG,Apple___Black_rot
train/Apple___Black_rot/5a7cfbae-2b00-4f16-b1e9-eacd813a5378___JR_FrgE.S 2783.JPG,Apple___Black_rot
train/Apple___Black_rot/fbbd1259-ea22-4f56-8298-8429d228a07c___JR_FrgE.S 2934.JPG,Apple___Black_rot
train/Apple___Black_rot/337ea111-17e2-470d-8fae-1fe8c61c13dc___JR_FrgE.S 2985.JPG,Apple___Black_rot
train/Apple___Black_rot/bbf0af8f-62fc-4b41-9b4a-e1f7e15974c7___JR_FrgE.S 2788.JPG,Apple___Black_rot
train/Apple___Black_rot/51ce3f1d-8418-4b7e-b091-dec14143d0b7___JR_FrgE.S 8579.JPG,Apple___Black_rot
train/Apple___Black_rot/f3918f57-f4c8-44a4-bd0b-403755fa9615___JR_FrgE.S 3092.JPG,Apple___Black_rot
train/Apple___Black_rot/f0919147-209f-4a73-be01-42a5f160d51b___JR_FrgE.S 3056.JPG,Apple___Black_rot
train/Apple___Black_rot/35ca99d4-5913-457a-b09c-3e90f6ef98a3___JR_FrgE.S 2947.JPG,Apple___Black_rot
train/Apple___Black_rot/d751e4b1-101d-4f23-aa99-5cd93b617aab___JR_FrgE.S 3012.JPG,Apple___Black_rot
train/Apple___Black_rot/842d3c43-4e5a-49aa-95b1-fb7e9be3d133___JR_FrgE.S 2802.JPG,Apple___Black_rot
train/Apple___Black_rot/8440ba8d-c3be-4824-ad91-b19e45a14487___JR_FrgE.S 2772.JPG,Apple___Black_rot
train/Apple___Black_rot/fc7d3fc0-1b3c-4865-adee-3670870ec4c3___JR_FrgE.S 2913.JPG,Apple___Black_rot
train/Apple___Black_rot/4b8b1d59-9aec-4b99-8be8-b61edcccb660___JR_FrgE.S 8659.JPG,Apple___Black_rot
train/Apple___Black_rot/f9ec74fa-f27f-4185-a89c-0613319e382b___JR_FrgE.S 8640.JPG,Apple___Black_rot
train/Apple___Black_rot/7f421e23-fede-4111-b6ab-cca2474f7d0e___JR_FrgE.S 2809.JPG,Apple___Black_rot
train/Apple___Black_rot/ec91d717-d4b1-41a1-9477-f646db7a39f9___JR_FrgE.S 8709.JPG,Apple___Black_rot
train/Apple___Black_rot/4747a926-7eee-49a1-b28b-a8cc8a555fa7___JR_FrgE.S 2952.JPG,Apple___Black_rot
train/Apple___Black_rot/fc5f6bd3-bd4e-4a8c-94d1-d46ea92a3941___JR_FrgE.S 3017.JPG,Apple___Black_rot
train/Apple___Black_rot/36836204-c6de-472e-90e4-6787ff74965e___JR_FrgE.S 8757.JPG,Apple___Black_rot
train/Apple___Black_rot/1107fc9f-f39f-450f-b928-4742fb82da77___JR_FrgE.S 2775.JPG,Apple___Black_rot
train/Apple___Black_rot/4eeb04f2-38b3-49be-a5d0-1c35450d8953___JR_FrgE.S 8714.JPG,Apple___Black_rot
train/Apple___Black_rot/f6c9080a-95af-48f8-8178-0be757d92d20___JR_FrgE.S 2982.JPG,Apple___Black_rot
train/Apple___Black_rot/9dd36e5e-2ca6-4ab3-8f5f-4ffb594a6023___JR_FrgE.S 2745.JPG,Apple___Black_rot
train/Apple___Black_rot/bd6f574a-e0cc-4293-af21-3949e9bf3a8e___JR_FrgE.S 8675.JPG,Apple___Black_rot
train/Apple___Black_rot/04e74a0c-bda4-4e06-aeab-ec24b1007994___JR_FrgE.S 8782.JPG,Apple___Black_rot
train/Apple___Black_rot/e4999654-a4e5-4038-bb7f-d69f824a0505___JR_FrgE.S 8728.JPG,Apple___Black_rot
train/Apple___Black_rot/05fd8037-fd27-4d26-9e5d-9a47856ab134___JR_FrgE.S 8770.JPG,Apple___Black_rot
train/Apple___Black_rot/a31cafc7-a39b-4689-83bd-4becd49ab74b___JR_FrgE.S 8760.JPG,Apple___Black_rot
train/Apple___Black_rot/507c6d2a-5fba-4f4c-9c44-9308f3ffdf69___JR_FrgE.S 3013.JPG,Apple___Black_rot
train/Apple___Black_rot/0090d05d-d797-4c99-abd4-3b9cb323a5fd___JR_FrgE.S 8727.JPG,Apple___Black_rot
train/Apple___Black_rot/079d0ba3-b207-4fc7-ace3-f2fe25c796b3___JR_FrgE.S 3038.JPG,Apple___Black_rot
train/Apple___Black_rot/a133da59-4ece-4efc-85a6-9376149371e4___JR_FrgE.S 2860.JPG,Apple___Black_rot
train/Apple___Black_rot/a5c9d465-9070-44e2-9974-ad6ed6ffaaf5___JR_FrgE.S 2853.JPG,Apple___Black_rot
train/Apple___Black_rot/255dd1a9-d4cf-4b38-9872-8f8bc6746703___JR_FrgE.S 3040.JPG,Apple___Black_rot
train/Apple___Black_rot/6ca0d950-03b6-4d1f-a4a2-562ca529cad3___JR_FrgE.S 8660.JPG,Apple___Black_rot
train/Apple___Black_rot/f9747ff8-17a9-4052-a7f0-d7255d520faa___JR_FrgE.S 2904.JPG,Apple___Black_rot
train/Apple___Black_rot/f4f0b458-01c4-48ad-a600-fe3e7fb47b36___JR_FrgE.S 8730.JPG,Apple___Black_rot
train/Apple___Black_rot/7fb5fc63-2f5e-45a1-8746-88e4e7883ffc___JR_FrgE.S 3059.JPG,Apple___Black_rot
train/Apple___Black_rot/9e24d361-b5e7-4634-9c76-e3fab5e51d87___JR_FrgE.S 8816.JPG,Apple___Black_rot
train/Apple___Black_rot/d962745e-a8b7-414a-a9f8-f47e945e3be9___JR_FrgE.S 2881.JPG,Apple___Black_rot
train/Apple___Black_rot/0bb8fb61-d561-43fd-89a3-d24d253adef9___JR_FrgE.S 2849.JPG,Apple___Black_rot
train/Apple___Black_rot/d30f9b23-402d-4c3f-bdf7-406c9e35d038___JR_FrgE.S 8715.JPG,Apple___Black_rot
train/Apple___Black_rot/719f24ab-9127-4a77-9f7e-7b47acb9f977___JR_FrgE.S 8802.JPG,Apple___Black_rot
train/Apple___Black_rot/9db01900-2a71-4acc-a9e8-f1a462707cf8___JR_FrgE.S 3004.JPG,Apple___Black_rot
train/Apple___Black_rot/17a083f1-5ba6-4f0c-917a-738b568f22ef___JR_FrgE.S 8612.JPG,Apple___Black_rot
train/Apple___Black_rot/65e6c212-6363-4ba2-8245-52c5266efad0___JR_FrgE.S 8625.JPG,Apple___Black_rot
train/Apple___Black_rot/ecfabcf4-106e-4357-8058-948dcb2f4798___JR_FrgE.S 8821.JPG,Apple___Black_rot
train/Apple___Black_rot/7c9765f6-d792-4621-a01e-0a1b4e550ada___JR_FrgE.S 2862.JPG,Apple___Black_rot
train/Apple___Black_rot/954d8d3f-c11e-4202-b5e5-501d5e41752b___JR_FrgE.S 2942.JPG,Apple___Black_rot
train/Apple___Black_rot/a23597b9-4e73-4b9c-8ef1-de02d2f2178c___JR_FrgE.S 8690.JPG,Apple___Black_rot
train/Apple___Black_rot/a2e4f04e-63f9-4c66-aa1b-bf0f0b6937dc___JR_FrgE.S 8756.JPG,Apple___Black_rot
train/Apple___Black_rot/09baab32-8360-4251-9c84-a5ce6bfdfff1___JR_FrgE.S 2883.JPG,Apple___Black_rot
train/Apple___Black_rot/1c31a116-f51d-4f56-9c69-c26c5fe69f57___JR_FrgE.S 2844.JPG,Apple___Black_rot
train/Apple___Black_rot/f63c8d11-234c-4ff4-bd81-5c3947503038___JR_FrgE.S 3085.JPG,Apple___Black_rot
train/Apple___Black_rot/fcf3bce8-b685-4483-bac4-a2d0d14d6eeb___JR_FrgE.S 8810.JPG,Apple___Black_rot
train/Apple___Black_rot/fbe5708e-d8c5-49f2-a01b-c918e04a4338___JR_FrgE.S 2858.JPG,Apple___Black_rot
train/Apple___Black_rot/ded93fa6-0c14-47ea-aa92-806a64db7816___JR_FrgE.S 2795.JPG,Apple___Black_rot
train/Apple___Black_rot/26b71abd-6648-4d92-a36d-92353bc09966___JR_FrgE.S 2899.JPG,Apple___Black_rot
train/Apple___Black_rot/f702f711-d90a-46be-8cd1-78521ecb6822___JR_FrgE.S 8724.JPG,Apple___Black_rot
train/Apple___Black_rot/0b8dabb7-5f1b-4fdc-b3fa-30b289707b90___JR_FrgE.S 3047.JPG,Apple___Black_rot
train/Apple___Black_rot/073553c2-0e42-4c86-b929-b2201f3f7756___JR_FrgE.S 2819.JPG,Apple___Black_rot
train/Apple___Black_rot/2f6893f9-0439-4409-b752-b910e03b076b___JR_FrgE.S 8814.JPG,Apple___Black_rot
train/Apple___Black_rot/67281292-f15a-4157-b531-395f3844e6ce___JR_FrgE.S 2792.JPG,Apple___Black_rot
train/Apple___Black_rot/8c6b887d-0ef4-4b77-8d89-b105a388d1e5___JR_FrgE.S 2749.JPG,Apple___Black_rot
train/Apple___Black_rot/0ebea6f4-08e4-4380-86f8-34d854697e32___JR_FrgE.S 2877.JPG,Apple___Black_rot
train/Apple___Black_rot/3afb0100-58b4-4825-bfb4-037258cd5925___JR_FrgE.S 8755.JPG,Apple___Black_rot
train/Apple___Black_rot/abdb807d-552f-433d-bb3e-b73494bbff15___JR_FrgE.S 8780.JPG,Apple___Black_rot
train/Apple___Black_rot/ca07e05a-e6a2-4651-b4fd-e54f0d1c58b7___JR_FrgE.S 2840.JPG,Apple___Black_rot
train/Apple___Black_rot/6b078700-56e6-4d25-a18a-b7b90741a2d3___JR_FrgE.S 2963.JPG,Apple___Black_rot
train/Apple___Black_rot/9febcc67-da4b-4424-a2cc-2bd6e19833ce___JR_FrgE.S 3054.JPG,Apple___Black_rot
train/Apple___Cedar_apple_rust/5271addc-c445-4af1-ba68-318c7b509e1f___FREC_C.Rust 3585.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/915ea730-231d-408d-baea-d2554d47bfa9___FREC_C.Rust 9809.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/19335371-d443-4629-bb10-ef4e0b7215c0___FREC_C.Rust 0064.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/accd43fa-2496-47ad-a24b-81da9e5f82b7___FREC_C.Rust 3783.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/c8ef20c5-1117-4774-aeec-0f263f9f3b3c___FREC_C.Rust 3853.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/9bbb97c5-a05b-4853-a30e-3b3ec1917067___FREC_C.Rust 3674.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/a9c36955-73f5-43d5-9e1e-03672ed95b38___FREC_C.Rust 3893.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/2a6fe192-977f-482c-8af7-3465448920f4___FREC_C.Rust 9919.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/1a69060b-e45e-4d95-881c-f6d1960dffcd___FREC_C.Rust 0065.JPG,Apple___Cedar_apple_rust
train/Apple___Cedar_apple_rust/d5d4f65c-aeca-4965-82d4-05d179dfa92e___FREC_C.Rust 4382.JPG,Apple___Cedar_apple_rust
